candidate_rank,grid_id,predicted_probability,priority_rank,longitude,latitude,nearest_road,snap_distance_m,distance_to_existing_charger_m
1,ISF_0095,0.9571624333434771,2,51.56316898543398,32.750436055716136,رحمانی,13.035218171915743,15229.004035186568
2,ISF_1897,0.9479351551153282,3,51.77909454389984,32.59528842388803,Unnamed mapped road,151.30999112916174,9670.560649010285
3,ISF_2153,0.9471864133294914,5,51.82373497173119,32.65416496512872,شهید مهدی ربانی,1.6729510371124945,12440.645055532801
4,ISF_0984,0.9435215577277017,6,51.659603251711324,32.74550521783724,آزادگان,47.26114491132533,11461.030209959938
5,ISF_0506,0.9339037996912587,8,51.61315996342214,32.75764720728284,امیرکبیر,247.1837829900079,13861.660640178488
6,ISF_1943,0.9332773301881672,10,51.786342796124046,32.66811069848311,Unnamed mapped road,25.548839250619377,9365.296429840511
7,ISF_1768,0.9296491141994798,16,51.75473489926797,32.67707082386069,Unnamed mapped road,15.0100995429994,7133.380057905783
8,ISF_1532,0.9264848501755366,18,51.72397473376268,32.61001724146279,بوستان,181.05223448429462,4428.274713744516
9,ISF_0995,0.9136252460492268,25,51.66336837961489,32.536757698407726,کمربندی غرب اصفهان,129.13707931090738,5871.510360552398
10,ISF_1207,0.9040655331853227,39,51.68530218907888,32.57405911386067,Unnamed mapped road,78.90110762956736,3285.810910504733
11,ISF_0843,0.9035506414244427,40,51.64758417375007,32.62354069891749,جهاندار,11.045615449599007,2501.2388718831435
12,ISF_0523,0.9033214430295382,41,51.61557246591164,32.614789603099204,شهرداری,3.4212170918979354,4620.640901444674
13,ISF_1901,0.9031461501517506,42,51.78016664044775,32.614912208010686,Unnamed mapped road,128.02743901460343,8827.24041646985
14,ISF_1828,0.8997814469505926,45,51.7656767864481,32.69495716023992,Unnamed mapped road,30.15928025807765,9162.978130930707
15,ISF_0084,0.8979560307517408,46,51.55870868773165,32.81270943450693,جاده دیسمان,81.54886589458998,21216.293898585252
